	I213_B_31	I213_B_32	I213_B_33	I213_B_41	I213_B_42	I213_B_43	I213_B_51	I213_B_52	I213_B_53	I213_C_31	I213_C_32	I213_C_33	I213_C_41	I213_C_42	I213_C_43	I213_C_51	I213_C_52	I213_C_53
STN4L_short_364	149	189	197	228	187	166	97	86	89	200	142	195	193	186	138	78	105	85
STN4L_short_365	152	150	139	162	115	116	101	76	95	150	118	168	124	141	94	43	49	26
STN4L_short_366	22	12	29	36	25	19	25	21	11	69	54	25	62	49	51	12	17	12
STN4L_short_367	339	256	477	527	440	454	888	575	768	473	447	371	450	546	451	721	686	640
STN4L_short_368	396	437	562	596	548	593	1098	617	946	659	624	586	447	563	626	793	635	692
STN4L_short_369	36	36	40	49	24	31	67	28	46	35	17	34	23	29	28	36	36	33
STN4L_short_370	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
STN4L_short_371	8	8	7	22	13	19	29	16	19	8	13	12	37	20	23	32	24	36
STN4L_short_372	44	50	43	44	42	28	31	37	41	64	68	71	48	41	54	24	29	26
STN4L_short_373	58	44	74	56	53	42	60	34	50	121	95	84	66	65	58	59	48	42
STN4L_short_374	19	10	31	32	18	14	27	14	21	39	33	28	20	34	31	19	10	15
STN4L_short_375	6	13	23	59	53	35	74	37	37	13	28	17	74	110	113	76	78	79
STN4L_short_376	55	62	77	119	74	87	36	35	45	108	92	141	91	93	45	15	19	13
STN4L_short_377	0	1	0	0	4	0	3	3	4	2	2	2	2	2	3	0	0	0
STN4L_short_378	126	106	156	212	169	166	61	62	55	361	317	247	277	244	245	48	53	41
STN4L_short_379	1	0	2	0	2	3	9	3	6	0	0	3	2	0	3	4	1	1
STN4L_short_380	28	7	8	16	4	9	12	12	4	10	10	12	23	31	24	13	28	5
STN4L_short_381	54	34	25	70	70	62	679	433	686	49	40	43	45	73	79	698	568	822
STN4L_short_382	7	8	13	8	5	11	11	5	9	9	8	12	5	5	1	10	6	16
STN4L_short_383	34	25	22	34	27	28	309	170	332	30	29	35	40	31	44	376	292	458
STN4L_short_384	1	6	12	7	12	4	6	7	11	8	9	7	10	11	10	6	6	5
STN4L_short_385	44	38	45	55	55	33	18	19	18	72	35	65	49	50	37	9	17	22
STN4L_short_386	9	6	9	13	10	11	9	12	10	10	11	21	20	12	11	6	6	1
STN4L_short_387	357	253	585	541	375	301	230	189	136	803	700	559	803	586	732	214	178	122
STN4L_short_388	167	152	304	236	211	121	131	112	74	415	420	284	274	300	226	51	62	46
STN4L_short_389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_short_390	89	33	42	76	32	60	53	46	53	78	55	41	32	68	51	24	44	10
STN4L_short_391	1	2	0	0	0	0	1	0	0	0	2	0	2	0	2	0	0	2
STN4L_short_392	121	103	115	108	90	86	131	74	103	169	162	151	63	105	71	69	69	72
STN4L_short_393	7	2	5	4	3	6	8	8	10	14	5	6	4	9	8	5	8	4
STN4L_short_394	129	166	134	134	140	101	47	38	59	296	267	370	59	89	70	38	29	24
STN4L_short_395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_short_396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_short_397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_short_398	3	1	3	1	3	1	9	1	1	2	2	3	2	0	1	3	0	3
STN4L_short_399	5	7	13	7	4	4	2	4	6	9	13	7	12	10	7	5	4	2
STN4L_short_400	13	11	14	41	17	24	37	30	41	37	27	26	35	35	30	35	35	24
STN4L_short_401	1	2	2	1	2	4	11	3	7	3	2	1	7	10	4	19	9	5
STN4L_short_402	1	0	1	0	0	2	3	2	3	3	3	0	1	6	1	6	0	3
STN4L_short_403	137	140	142	224	167	129	477	312	407	189	164	244	153	163	153	320	247	223
STN4L_short_404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
