	I213_B_31	I213_B_32	I213_B_33	I213_B_41	I213_B_42	I213_B_43	I213_B_51	I213_B_52	I213_B_53	I213_C_31	I213_C_32	I213_C_33	I213_C_41	I213_C_42	I213_C_43	I213_C_51	I213_C_52	I213_C_53
STN4L_00588	265	271	290	270	243	246	562	292	432	349	256	231	256	273	256	360	267	265
STN4L_00589	19038	25454	11479	9755	9300	7979	9767	7381	9739	11253	8221	13132	7255	8777	8251	8021	8242	7220
STN4L_00590	8612	16483	5192	3654	3842	2898	1264	1043	937	5943	3897	7469	3876	3258	3225	741	786	628
STN4L_00591	811	776	887	615	520	532	602	488	518	913	866	1019	473	742	570	468	499	402
STN4L_00592	12	7	6	8	4	2	3	4	7	9	11	6	4	6	7	3	10	3
STN4L_00593	2113	1822	2052	1570	1358	1332	1261	959	1143	2267	1966	2253	1298	2273	1916	1248	1848	1125
STN4L_00594	668	566	557	483	362	371	390	295	354	733	606	670	404	582	557	348	438	260
STN4L_00595	673	652	588	466	400	334	374	332	300	717	572	652	381	610	529	281	326	289
STN4L_00596	694	547	613	502	426	386	373	295	274	635	528	638	458	634	638	346	463	259
STN4L_00597	3463	3434	3190	2660	2149	2094	1976	1632	1636	4145	3352	4102	2147	2910	2740	1419	1947	1378
STN4L_00598	796	791	728	527	481	369	386	323	318	813	645	799	464	540	553	281	382	246
STN4L_00599	59	59	53	52	38	44	39	40	32	55	52	70	50	70	50	19	22	27
STN4L_00600	195	168	147	174	169	150	141	117	113	262	179	226	222	211	228	117	108	74
STN4L_00601	400	334	254	402	360	308	298	232	245	446	388	407	426	437	390	204	212	172
STN4L_00602	4208	6055	2399	2240	2197	1797	1186	945	984	2825	1803	2672	1906	2110	1957	725	833	619
STN4L_00603	5031	7762	2753	3440	3466	3033	2086	1741	1596	3945	2499	4142	3431	3258	2937	1326	1545	1071
STN4L_00604	13527	9161	9230	14859	10825	10536	22975	15095	22385	10509	7057	7325	10951	11128	10091	21210	16512	20053
STN4L_00605	5	4	2	3	5	4	2	3	1	10	2	3	7	5	11	1	1	6
STN4L_00606	75	80	59	86	71	60	60	57	58	104	82	88	74	88	70	30	26	25
STN4L_00607	96	72	94	114	90	87	87	48	79	120	103	116	97	128	116	54	60	50
STN4L_00608	274	208	348	334	240	213	247	155	192	446	290	348	262	349	336	157	159	95
STN4L_00609	2297	2289	2825	2949	3011	2844	2045	1535	1554	3984	3406	3614	3028	2820	2746	1249	1254	1089
STN4L_00610	12447	11042	14441	15294	13984	13464	18621	12494	12671	13372	11676	12308	11044	13403	11977	9777	10671	7860
STN4L_00611	12713	10899	10228	10694	9680	7969	4263	4191	4038	13229	9641	11568	8459	8969	8475	2556	3194	2433
STN4L_00612	15	17	9	25	30	13	15	13	23	18	17	20	19	25	20	19	20	19
STN4L_00613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_00614	12	9	13	13	12	6	13	17	20	14	12	27	19	18	12	18	15	24
STN4L_00615	15	11	8	14	12	7	9	15	10	12	17	10	8	13	8	11	10	4
STN4L_00616	11	17	3	7	10	10	17	10	2	11	13	16	10	15	14	7	6	8
STN4L_00617	33	52	47	43	51	35	61	51	60	51	38	54	54	37	44	40	45	39
STN4L_00618	6	10	5	4	11	5	1	5	10	17	11	17	2	9	7	4	1	4
STN4L_00619	7	7	5	7	9	5	2	2	2	6	6	11	10	3	4	4	4	5
STN4L_00620	3	9	8	4	3	2	6	2	5	17	5	5	11	11	12	2	7	6
STN4L_00621	1115	960	943	918	712	568	521	429	435	1006	862	993	710	759	612	358	379	289
STN4L_00622	1588	1659	1601	897	887	681	326	300	263	1883	1671	1993	830	892	826	192	265	190
STN4L_00623	0	0	1	3	1	0	1	1	6	2	1	1	3	3	0	5	2	3
STN4L_00624	3	15	8	13	10	6	14	11	3	16	5	7	12	12	13	12	13	16
STN4L_00625	4	3	7	4	7	3	16	2	4	7	4	3	9	9	3	4	1	6
STN4L_00626	542	442	449	538	346	373	610	454	521	538	310	412	399	414	469	377	360	243
STN4L_00627	269	254	236	272	219	192	326	195	233	258	150	232	221	187	189	158	136	122
STN4L_00628	149	118	125	158	86	88	219	119	128	149	94	90	118	95	112	116	121	105
STN4L_00629	13444	11562	9919	12018	9128	8783	12080	8364	9722	10452	7806	9147	8391	9038	8488	7658	7352	5895
STN4L_00630	2752	2872	2791	2592	2127	1960	2235	1783	1895	3095	2629	3016	1925	1959	1894	1217	1436	905
STN4L_00631	1468	1453	1260	980	765	730	692	571	676	1057	871	944	483	550	487	357	359	344
STN4L_00632	3008	2615	2325	2657	2191	2147	2493	1929	2112	2450	1952	1961	1878	2453	2113	2029	2062	1486
STN4L_00633	361	377	444	363	356	374	551	399	443	421	435	397	386	381	375	372	432	331
STN4L_00634	33	37	40	42	30	32	47	50	31	42	48	46	39	38	36	27	12	21
STN4L_00635	22	31	21	13	12	19	17	27	23	27	13	20	28	38	19	13	21	14
STN4L_00636	225	226	260	300	207	159	234	185	184	249	181	261	219	197	151	141	128	98
STN4L_00637	4	0	0	0	2	2	1	0	1	0	0	5	9	1	0	2	0	1
STN4L_00638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_00639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_00640	4	14	7	2	3	1	2	8	3	0	3	3	7	8	6	4	4	1
STN4L_00641	12073	9858	8407	9774	7548	7141	7949	6583	7852	8417	6731	8026	6502	7190	6027	6095	5657	5639
STN4L_00642	39049	31720	29663	38440	30675	28331	32317	24524	30688	32782	26384	28562	29579	32085	26598	27659	25861	23096
STN4L_00643	934	839	1199	1175	977	860	1204	1080	1235	1437	1433	1293	1091	1168	1003	825	1013	950
STN4L_00644	706	622	898	1068	883	913	998	780	920	1189	1068	1121	900	1133	977	814	987	787
STN4L_00645	1434	1483	1586	2177	1809	1734	1839	1478	1720	2183	1984	2131	1868	2191	1801	1613	1730	1527
STN4L_00646	521	468	589	699	584	622	734	583	672	799	690	791	692	697	660	569	609	535
STN4L_00647	811	870	1021	1271	1056	981	1421	1166	1272	1275	1264	1177	1214	1302	1309	1183	1217	1095
STN4L_00648	1663	1485	2215	2402	2058	1915	2906	2048	2213	2353	2382	2069	2247	2397	2225	1760	2091	1801
STN4L_00649	0	0	1	5	4	6	14	6	12	5	1	2	3	2	5	6	5	3
STN4L_00650	119	81	137	162	58	76	228	123	174	147	133	110	114	172	175	221	169	92
STN4L_00651	21248	17412	17388	22608	17436	16581	23320	16644	20313	20459	15665	17950	17209	18852	16908	19113	17541	14788
STN4L_00652	107	94	100	175	92	93	142	136	129	119	94	92	71	120	92	72	109	66
STN4L_00653	1274	1076	1245	1978	1455	1452	2030	1487	1611	1693	1369	1338	1398	1577	1308	1150	1177	1015
STN4L_00654	4124	3673	3271	3818	2894	2753	2708	2324	2083	3431	2602	3290	2629	2837	2417	1309	1491	942
STN4L_00655	14657	12567	12788	15733	13052	12749	11678	8733	8570	15822	11856	13846	11586	12725	10327	5568	7468	4739
STN4L_00656	45	45	86	80	90	63	108	66	98	99	79	88	72	62	53	74	59	64
STN4L_00657	21	18	20	43	20	24	44	28	42	24	17	31	39	30	14	38	26	24
STN4L_00658	2	2	0	1	0	0	1	0	1	2	0	1	2	1	3	3	2	1
STN4L_00659	11373	10708	10559	13155	11698	9991	10488	7833	9331	12901	10586	12743	9891	9524	8307	6800	6081	5756
STN4L_00660	870	680	790	907	735	744	1051	776	1082	722	693	757	678	742	711	793	791	746
STN4L_00661	749	583	663	789	636	732	917	718	1012	699	658	753	538	736	698	719	716	654
STN4L_00662	28	41	43	42	32	28	58	50	55	53	33	62	52	52	29	50	29	38
STN4L_00663	21115	19715	18423	23143	21727	18524	16260	13138	13747	26828	19840	23905	22524	21582	19364	13880	12286	10601
STN4L_00664	100	108	102	200	204	174	300	195	274	156	136	133	202	212	166	229	202	208
STN4L_00665	2778	2365	1885	3191	2224	2225	4709	3528	4123	2278	1686	2025	2384	2300	1842	2905	2503	2372
STN4L_00666	8412	7527	7607	12314	9146	8435	15707	10007	12273	7764	6673	7203	9147	9285	8677	12573	10376	9411
STN4L_00667	10447	8987	8249	13554	10011	9437	16056	11167	13532	8362	6475	7590	9287	10095	9131	11887	9769	9662
STN4L_00668	5666	4010	4776	7229	5579	6144	8879	5815	7053	4438	3475	3573	4715	6384	6087	5186	5310	4078
STN4L_00669	940	898	848	902	728	866	993	719	933	976	918	1063	646	851	720	589	557	525
STN4L_00670	293	301	277	266	330	284	341	252	303	431	414	406	283	448	321	209	221	196
STN4L_00671	26095	22689	20795	22081	17827	15752	18723	14190	16919	21297	15847	18694	17033	17327	15597	13763	13307	11845
STN4L_00672	9750	10684	10469	11036	9500	9159	10278	6601	7640	11039	10226	11995	8853	9335	7670	6276	6245	5244
STN4L_00673	4971	4125	3853	5135	3808	4182	5107	3622	4463	4427	3369	3633	3812	4583	4049	3660	3648	2675
STN4L_00674	65623	53248	47364	60964	46138	44198	78076	55611	84192	51510	40015	47047	42108	49028	42260	74814	60419	74345
STN4L_00675	7875	6551	6334	7888	6344	5762	5594	4500	4294	7278	5767	6260	6195	7010	5937	3611	4112	3331
STN4L_00676	12834	10289	10451	12708	9586	9536	8878	7066	7447	11829	8041	9675	9413	10297	9127	6722	7054	5897
STN4L_00677	1355	1134	1209	1438	1381	922	884	783	792	1304	900	969	1148	1423	1111	994	1087	824
STN4L_00678	808	581	662	663	524	491	554	468	511	617	374	550	609	623	528	503	496	221
STN4L_00679	131	158	160	159	141	81	252	149	222	211	153	171	175	141	150	182	132	183
STN4L_00680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_00681	82	65	64	83	56	73	92	66	94	73	66	71	72	87	72	116	92	78
STN4L_00682	58	74	65	81	76	55	90	51	72	60	60	81	70	54	42	69	49	58
STN4L_00683	51	60	62	90	70	50	93	57	83	82	53	100	82	72	53	84	39	64
STN4L_00684	197	185	152	205	153	164	293	147	249	248	167	238	177	199	184	206	173	184
STN4L_00685	8	14	15	27	29	14	23	24	13	27	24	28	16	14	21	20	8	18
STN4L_00686	5482	5555	5477	4018	4929	3657	2440	2136	2408	8321	6882	8196	3924	4325	3811	1793	1844	1764
STN4L_00687	980	892	823	739	772	536	432	371	458	1466	1321	1498	760	709	727	277	270	225
STN4L_00688	1634	1618	1499	1289	1321	940	567	487	543	2021	1801	2462	1163	1094	1052	398	411	398
STN4L_00689	7202	6428	6649	5432	5778	4478	3604	3341	3515	7429	5872	7585	5210	5584	5198	2478	2633	2718
STN4L_00690	22066	18505	18821	16327	15760	12649	10398	10316	10442	19548	14751	19141	14902	14430	16226	6361	7520	6111
STN4L_00691	7287	7203	7137	8039	5770	5376	6730	5182	5525	6636	5680	6308	6093	6521	5450	4156	4499	3422
STN4L_00692	10	19	21	30	29	10	21	25	37	25	20	25	28	31	22	25	35	26
STN4L_00693	6	5	4	8	2	9	5	1	4	7	12	8	6	7	7	0	5	1
STN4L_00694	637	576	777	871	621	734	426	440	392	904	744	994	626	680	603	233	268	259
STN4L_00695	2112	2033	1753	1446	1084	906	915	782	899	2043	1934	2178	1141	1159	1005	582	722	598
STN4L_00696	218	184	273	496	360	483	1186	923	1341	293	371	321	353	476	426	705	655	696
STN4L_00697	1135	916	1113	870	811	711	585	498	442	783	910	942	787	896	774	415	472	433
STN4L_00698	2199	2482	2610	1909	1916	1414	790	667	638	4760	3947	5138	2220	2132	1779	650	712	542
STN4L_00699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_00700	33	31	16	21	31	21	18	26	12	26	32	38	30	36	22	12	4	11
STN4L_00701	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0
STN4L_00702	54	90	70	93	82	68	87	50	58	64	70	85	83	75	66	62	51	66
STN4L_00703	287	300	304	317	225	279	355	255	306	342	313	360	275	283	234	213	218	140
STN4L_00704	133	210	152	208	158	169	186	133	156	173	175	207	167	138	122	116	134	127
STN4L_00705	4690	5043	5925	4569	3563	3200	1665	1269	1376	8851	7862	8821	5530	4207	3216	800	910	932
STN4L_00706	0	2	3	1	1	0	3	3	3	1	3	2	5	2	0	2	0	1
STN4L_00707	12	2	5	29	8	8	17	30	24	5	11	15	11	13	9	21	13	9
STN4L_00708	6	2	1	2	5	2	12	1	6	3	0	2	7	5	1	3	8	3
STN4L_00709	73	54	79	98	75	74	133	118	133	73	55	54	73	70	71	118	90	71
STN4L_00710	4	0	2	2	3	1	1	3	3	4	0	1	2	0	4	1	1	2
STN4L_00711	281	260	192	208	193	198	137	96	139	361	193	228	169	222	158	99	96	94
STN4L_00712	1086	1037	829	922	867	742	527	472	503	1384	849	1102	850	836	751	396	446	335
STN4L_00713	710	1035	741	904	854	675	491	371	428	1346	1203	1838	937	808	681	409	434	357
STN4L_00714	14	12	7	19	7	10	10	2	9	8	19	23	16	8	10	6	5	7
STN4L_00715	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STN4L_00716	163	154	130	155	157	175	117	102	102	181	130	210	141	148	153	80	84	79
STN4L_00717	8	10	18	10	9	2	12	7	10	12	14	15	13	10	15	17	6	9
STN4L_00718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_00719	0	3	2	4	0	4	2	1	2	3	0	3	5	1	1	3	2	2
STN4L_00720	15533	11311	12540	27109	17432	16837	30661	21545	25819	15598	11281	11413	21067	19433	19556	27228	20444	24168
STN4L_00721	19	22	27	39	17	22	29	25	23	48	31	49	26	37	31	21	20	26
STN4L_00722	3780	3082	5092	4431	3462	3296	4084	3053	3453	4563	5085	5333	3764	3602	3120	2198	2020	2109
STN4L_00723	3666	3798	4775	4275	3320	3971	5265	3593	4717	4146	3446	5117	3514	3922	3236	3083	2913	2512
STN4L_00724	2171	2089	1924	2385	1775	1717	2040	1471	1791	1962	1621	1824	1778	1700	1498	1554	1480	1472
STN4L_00725	8902	7498	7872	9333	6810	6599	8243	6532	8359	8447	6178	7321	7891	7375	6447	7404	6683	5908
STN4L_00726	1	1	2	1	3	3	4	3	3	3	11	4	1	0	2	1	3	2
STN4L_00727	10408	9431	8837	11302	8529	8253	11103	8245	10182	10096	7367	8591	9278	8784	7779	8717	8439	7893
STN4L_00728	18761	15598	14513	19154	13995	13729	18966	13451	17196	15828	11780	12955	14691	15218	12656	15709	14540	13682
STN4L_00729	20993	16409	17341	23242	16572	16987	23427	16822	21951	17776	13998	15497	16542	19364	15774	19940	18800	15525
STN4L_00730	16767	13349	12730	18226	13809	13483	20880	14558	18084	15638	12873	11974	14465	15545	13536	17479	15623	15484
STN4L_00731	11	21	17	29	25	14	54	32	38	25	19	18	25	32	21	42	29	31
STN4L_00732	55	57	76	107	122	93	228	135	230	95	83	96	114	142	123	268	225	302
STN4L_00733	888	868	741	647	641	481	404	395	359	1319	1083	1121	714	808	692	321	444	276
STN4L_00734	1695	1955	1437	1524	1555	1177	698	784	581	2719	1914	2448	1443	1629	1420	415	686	402
STN4L_00735	819	839	720	794	858	594	408	365	299	1367	1124	1238	880	827	811	206	319	214
STN4L_00736	592	547	456	547	491	432	249	255	222	837	696	808	536	561	465	123	181	152
STN4L_00737	2254	1493	1900	1598	1201	1237	706	634	647	2139	2052	2150	1472	1804	1721	490	749	500
STN4L_00738	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
STN4L_00739	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_00740	2788	2182	3366	3324	2400	1999	3371	2168	2368	2821	2768	2767	2968	3373	3073	2648	2956	2005
STN4L_00741	11	16	13	8	2	15	21	19	20	24	34	14	12	26	9	16	12	2
STN4L_00742	32914	26117	25966	32060	23977	21397	27955	22136	23207	30614	25779	25610	22441	24446	21511	18507	20396	16706
STN4L_00743	28421	25785	24304	27070	21319	19783	25107	19392	20702	25790	20680	23459	19920	21562	19006	16281	16628	13322
STN4L_00744	13540	12729	10756	13309	10936	9337	11130	8532	8963	11740	9671	10727	10559	11112	9793	7998	8303	6558
STN4L_00745	28996	27722	25910	36837	29513	26695	26857	21709	19627	31033	24560	29067	29586	29421	26399	16571	18621	12539
STN4L_00746	1471	1368	1291	1489	1114	1214	1588	1095	1551	1622	1314	1751	1061	1250	1189	1313	1241	1119
STN4L_00747	8536	6978	6344	7917	6220	5571	9926	7612	10649	7696	6154	6969	5661	6489	5096	8661	7800	8168
STN4L_00748	8557	7672	5716	7742	6136	5006	10729	7910	11249	8420	6861	7288	5471	5203	4632	8223	6794	8848
STN4L_00749	20127	18339	16024	20630	15041	13874	26348	18823	25889	19791	15710	18814	14020	13935	12233	22853	18484	22034
STN4L_00750	38822	35726	31368	29845	24701	22595	27264	19138	26835	37770	29092	36054	23408	25706	21653	28112	22778	25109
STN4L_00751	6397	6134	6369	8282	7241	7673	12431	8473	12389	9066	7167	8825	7472	7850	6596	13600	10205	11222
STN4L_00752	8721	9042	6989	12235	10196	10690	17369	10678	16866	8212	6528	9569	7820	8664	6973	17453	12476	14338
STN4L_00753	1750	1584	1580	2308	1667	1797	3606	2465	3957	1835	1334	1773	1730	1865	1462	3370	2381	2811
STN4L_00754	145	112	223	228	179	213	432	278	436	210	171	139	200	211	188	435	325	308
STN4L_00755	14654	15151	15735	21265	16978	17177	31958	20041	30196	16526	13960	17333	16690	17429	15763	31360	23683	26419
STN4L_00756	9514	9540	9756	13182	10423	10473	19621	11897	17458	11214	9342	11252	11224	12055	10807	19985	14911	17274
STN4L_00757	17614	16160	16816	22491	17974	19204	30735	19102	28204	19342	15145	17998	18453	21560	18515	34359	27144	27513
STN4L_00758	1121	1322	1494	1645	1216	1147	3953	2625	3471	1340	1423	1479	1509	1383	1277	3024	2769	2342
STN4L_00759	7587	5243	7505	7341	5814	4762	5121	3745	3912	7825	6758	7083	5785	6024	5291	2642	3018	2781
STN4L_00760	41	24	14	21	18	31	15	8	12	24	11	28	21	41	20	11	10	11
STN4L_00761	209	181	156	246	204	167	292	247	319	167	141	163	152	192	183	204	249	191
STN4L_00762	411	328	341	461	376	386	481	340	482	385	298	356	337	442	333	372	334	337
STN4L_00763	37760	30405	30846	29066	23894	22695	15594	13144	15536	35030	28809	32166	22980	29742	25153	13399	16826	13740
STN4L_00764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_00765	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0
STN4L_00766	129	110	73	112	89	110	129	96	110	111	92	118	132	133	98	73	117	70
STN4L_00767	228	222	207	217	213	193	155	140	136	191	187	193	189	196	182	106	111	106
STN4L_00768	31	55	31	49	46	48	47	25	27	50	33	58	30	37	30	20	27	19
STN4L_00769	364	311	281	341	281	268	235	210	205	320	225	309	275	347	269	138	173	132
STN4L_00770	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
STN4L_00771	117	105	123	153	184	130	294	187	279	151	95	98	146	152	137	285	203	274
STN4L_00772	937	881	846	1072	861	731	1466	1094	1514	996	828	1035	917	939	922	1361	1142	1230
STN4L_00773	238	210	161	205	177	180	288	235	274	207	154	176	136	186	126	251	180	220
STN4L_00774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_00775	462	415	488	630	456	420	917	634	758	643	525	544	544	568	543	759	671	636
STN4L_00776	734	690	768	976	738	701	1263	875	1245	911	845	894	979	995	961	1174	1079	1221
STN4L_00777	1994	1975	2349	2761	2152	2145	3758	2541	3217	2678	2582	2928	2374	2554	2240	2851	2478	2398
STN4L_00778	62744	46414	45908	55907	40377	39645	25839	21825	26747	76703	63371	64629	44003	47828	38464	24691	20776	25032
STN4L_00779	4781	4004	4350	5140	3630	3888	5323	3859	4927	5561	4942	5346	3860	4272	3694	3594	3478	2782
STN4L_00780	7702	6625	7060	8355	5781	5563	7436	5780	7300	6777	5941	7508	7823	7906	7016	8604	8514	5165
STN4L_00781	6049	5541	6399	8315	6056	5612	10466	7148	9299	7655	6590	7550	6797	7084	5989	8664	8037	7842
STN4L_00782	32749	26220	22843	32141	24401	23219	75146	58698	73576	26262	21766	22209	26600	29282	29335	61404	61552	52873
STN4L_00783	1842	1515	1419	1216	1058	998	812	610	835	1590	1315	1478	1146	1314	1068	938	970	958
STN4L_00784	2584	2207	1980	1639	1329	1171	1167	862	1091	2195	1824	2035	1560	1597	1413	1118	1015	1019
STN4L_00785	293	292	439	301	236	240	277	214	275	429	386	438	286	339	292	191	194	231
STN4L_00786	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	4	0	0
STN4L_00787	3551	3289	3717	4198	2995	3004	4533	3162	4133	4110	3445	3781	3370	3386	3128	3958	3333	3013
STN4L_00788	27919	23984	21850	24832	19408	17256	19634	15848	17265	27440	21310	23754	20799	20553	18193	14033	14871	11533
STN4L_00789	9	12	16	21	7	22	7	5	8	23	27	16	20	8	12	6	8	4
STN4L_00790	34	24	30	33	36	18	56	22	38	41	31	27	29	40	28	41	38	33
STN4L_00791	15	11	23	16	16	13	32	16	31	20	18	24	30	36	27	42	28	35
STN4L_00792	0	0	0	0	1	0	4	0	1	0	2	1	1	0	0	0	0	1
STN4L_00793	7	8	4	8	10	5	11	6	13	12	9	24	15	10	4	12	8	7
STN4L_00794	30075	28316	27437	30474	27223	22078	14552	13296	10705	40838	29231	36315	29129	29382	27186	8578	10403	7854
STN4L_00795	6711	5927	6135	7232	6370	5023	3296	2825	2232	10305	6924	8819	7956	7381	6219	1897	2338	1843
STN4L_00796	26442	26516	22245	28100	23520	19030	11525	11192	8163	33643	25665	31636	26087	24383	20801	5753	7390	5818
STN4L_00797	21815	22458	19932	25080	20250	16907	9826	9021	6819	27943	21347	26044	22884	19496	16847	4065	5342	3891
STN4L_00798	888	829	1204	1626	1017	979	680	421	474	1547	1630	1391	1463	1335	1270	310	412	309
STN4L_00799	5952	5416	5927	4401	3787	3673	1868	1661	1628	7663	6953	7742	3367	4242	3319	1078	1264	1033
STN4L_00800	3502	3221	2563	2252	1955	1844	930	898	872	3795	3299	3903	1742	2266	1765	518	602	572
STN4L_00801	7202	6570	5807	4607	4626	4579	2645	2155	2352	8254	6101	8040	3655	4976	3899	1174	1739	1175
STN4L_00802	3638	3464	3379	2472	2323	2176	1438	1140	1125	3908	3489	3790	1982	2397	2097	667	952	716
STN4L_00803	22670	20150	15285	11391	10605	9541	6633	5916	6049	17504	12870	15845	8734	10476	8723	3254	4765	3500
STN4L_00804	12320	11580	11074	9257	8821	7454	5434	4654	4400	12152	9651	11487	7845	8661	7962	3354	4423	3000
STN4L_00805	14227	13354	11781	11288	10182	9496	5883	5290	4893	12200	9715	13584	7998	9607	7530	3181	4517	2783
STN4L_00806	13905	13459	11711	11565	10024	9328	6584	5481	5430	13865	11212	13520	8488	9945	8592	3702	4719	3493
STN4L_00807	5932	5533	4799	4982	3990	3922	3311	2433	2787	5750	4472	5583	3532	4028	3394	1874	2157	1626
STN4L_00808	4485	3646	3606	4138	3570	3735	4307	3106	3973	3662	3069	3675	3026	3734	3318	3377	3060	3027
STN4L_00809	17387	14733	13264	13184	10249	9254	8815	7282	7625	14690	10272	12283	10742	10543	9311	5134	5322	4297
STN4L_00810	7574	6232	5183	6064	4933	4748	4823	3865	3785	5917	4219	5168	4112	5161	4269	2858	3271	2170
STN4L_00811	7776	6367	5721	6977	5472	5283	6032	4688	5096	5890	4449	5334	5138	5927	5163	4422	4742	3324
STN4L_00812	17120	12164	18971	17359	13486	10973	10972	8171	9471	22725	20662	18351	13701	15621	14656	8036	7889	7394
STN4L_00813	3697	3520	3676	1595	1458	1236	330	249	308	6755	6953	7439	1806	2206	1673	303	334	418
STN4L_00814	1	0	0	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0
STN4L_00815	11	6	11	18	8	7	9	6	9	7	12	6	7	11	7	3	8	1
STN4L_00816	40198	32245	29844	36012	28232	24371	28435	22963	25144	39709	30823	34213	27749	29106	26104	18550	19970	18098
STN4L_00817	52879	44047	50590	68425	57430	52286	65961	46439	57520	55984	44275	53644	52405	56432	49239	54545	55216	45347
STN4L_00818	38303	31842	40957	56818	41619	37947	63768	48209	55630	50315	42097	46192	44817	45210	43326	44360	44742	39038
STN4L_00819	14247	14249	15700	22914	21200	17011	26096	20710	21188	23052	21247	20585	21475	19577	17919	17489	18675	18964
STN4L_00820	21776	18039	17751	26105	18357	17620	27006	21818	24782	21305	17107	19481	21866	21669	19273	19935	20848	15491
STN4L_00821	42207	38419	39826	56511	46644	40902	61357	45581	50347	52898	41067	45668	48717	46867	42087	40928	41683	36249
STN4L_00822	74595	62473	57522	87713	68179	63914	83532	65566	72460	74689	56344	69060	65339	67658	58676	54389	57325	41970
STN4L_00823	54945	47763	44841	64702	54439	48206	63975	48342	53142	54937	45213	50779	51852	52074	45341	41612	44382	33624
STN4L_00824	20300	17573	20214	23560	18930	18289	17638	14162	13042	22395	16973	20093	22047	22134	19920	10316	13686	7570
STN4L_00825	17799	16057	14976	20354	16734	15756	14358	12889	10805	17348	13834	15319	16260	16655	14996	7149	9094	5688
STN4L_00826	21383	19011	17485	26871	23044	20282	18585	15453	13229	21286	18201	19313	21619	22402	20869	9261	12002	7739
STN4L_00827	1294	1096	1215	1602	1359	1142	2250	1632	1983	2224	1703	1824	1550	1454	1120	1343	1237	1126
STN4L_00828	48212	47644	43823	64381	56249	46614	64817	43272	53140	75133	56898	68562	59728	54718	49106	50778	43156	38870
STN4L_00829	83717	63105	48710	93044	66855	72373	97345	70312	88996	85863	61408	70264	77364	81029	69055	74709	62809	67111
STN4L_00830	35051	28967	34961	50104	39667	43302	56421	38332	45009	55865	45166	47458	48586	49290	42835	40619	36434	33810
STN4L_00831	50962	34388	52632	79463	51571	56832	82886	55478	73058	66835	45290	46835	79893	84584	74808	85728	84669	63212
STN4L_00832	158381	101209	117565	181429	106006	117277	173684	110955	146294	139035	97114	116132	148482	181653	140838	168831	179604	131927
STN4L_00833	5	0	0	2	11	10	14	7	6	2	2	13	19	9	1	10	7	6
STN4L_00834	9388	8972	10100	11932	9874	10189	17054	10314	16973	12447	11166	11546	9894	11181	10241	17633	13365	16368
STN4L_00835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_00836	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0
STN4L_00837	37929	27112	23859	35836	25379	23709	41518	31193	38713	28924	19434	20725	27268	27442	24028	31445	29787	27562
STN4L_00838	8936	8365	8558	12190	9364	9020	15587	10768	14369	8549	7652	9174	8149	9169	8157	11400	9760	10160
STN4L_00839	54313	44562	44165	54127	41285	38339	33506	27920	29671	54851	47175	51813	45269	50600	42202	22990	24814	20743
STN4L_00840	3589	3499	3900	3979	3335	3021	4381	3107	4182	3917	4041	4106	3004	3342	2867	3432	3103	2930
STN4L_00841	4561	4520	3879	4917	3944	3596	4685	3340	4339	4454	3630	4813	4809	4397	4024	4786	3970	4764
STN4L_00842	19145	14317	13349	16762	12179	11711	13644	11319	14238	17213	13387	14401	12147	14040	11323	9078	10094	8374
STN4L_00843	11754	8225	9082	9951	7261	6823	8416	6591	8244	10675	8624	8268	8281	9040	8171	6093	6400	5692
STN4L_00844	5	9	8	6	3	2	3	3	2	7	2	4	12	14	9	7	2	5
STN4L_00845	212	165	178	187	149	163	154	124	154	211	180	224	165	191	177	141	154	134
STN4L_00846	238	202	214	230	201	164	202	135	183	244	212	258	227	226	209	148	149	135
STN4L_00847	41	43	38	41	52	54	33	24	36	76	44	83	50	63	49	25	38	55
STN4L_00848	202	185	150	211	201	201	155	114	134	219	168	238	246	335	231	177	212	153
STN4L_00849	10477	8078	7470	8277	6505	6548	7584	6036	7567	8446	6182	7504	6653	8520	6682	7264	7686	7092
